ung,n,ˈʌŋ,emptiness; the void,,,
ung,num,ˈʌŋ,zero,"Three, tw, wun, ung!",,
ung,prep,ˈʌŋ,without,,,
ung,pro,ˈʌŋ,nothing|none,Hir has ung.,,
ungful,adj,ˈʌŋfəl,empty|void,,,
ungoodful,adj,ʌnˈgʊdˌfəl,bad,,"See ""goodful""",
ungoodly,adv,ʌnˈgʊdˌli,unwell|badly,,"See ""goodly""",
unk,adv,ˈʌŋk,not|do not; does not,I unk shall assist thu dutu I unk have time.,,
unk,ptcl,ˈʌŋk,no,"Unk, iung kog so.",Antonym: ak,unkrat|unc
unkog,vt,ʌŋˈkɔg,to forget,,,
unkrat,adj,ˈʌŋkɹæt,incorrect; inaccurate|false|fake; fictitious; fictional|inauthentic; forged|artificial|void,Affektion unkrat beas.,"Antonym: akrat, krat",
unkratoolah,n,ʌnkræˈtula,counterfeit,,,
unrat,adj,ˈʌnɹæt|ʌnˈɹæt,invalid|illegal; not allowed,Unrat arg provided!|Yu should kog cat jakobisement unrat beas.,,
unratify,vt,ʌnˈɹætɪfaɪ,to illegalise; to outlaw,Billzo attempted tu unratify affektion.,,
unsmart,adj,ʌnˈsmɑɹt,stupid,,,
unsmart,n,ʌnˈsmɑɹt,a stupid action or thing,I akted an unsmart.,,
untwine,vt,ʌnˈtwaɪn,to disconnect|to separate|to untie,,,
urb,n,ˈɜɹb,city,,,
utilious,adj,juˈtɪlijɪs,useful,,,
uuouu,int,waʊ,wow,,,
uuuu,int,ˈuwu,uwu,,,
valueful,adj,ˈvæljufəl,valuable,,Obselete,
vandalise,vt,ˈvændəlaɪz,to draw; to illustrate|to annotate,I vandalised my something.,,
vandalism,n,ˈvændəlɪzm,art|drawing; illustration,I manufaktured some vandalism! Quat dzyu neuri ov it?,,
veggie,n,ˈvɛdʒi,vegetable,,,
veggiful,adj,ˈvɛdʒifəl,healthy|delicious|good; amazing; awesome,,,veggieful
veggisome,adj,ˈvɛdʒisəm,good; amazing; awesome,,,veggiesome|veggisom
veggitable,n,ˈvɛdʒiˌteɪbəl,vegetable,,Obselete,
view,vt,ˈvju,to see,,,
vik,v,ˈvɪk,to win,I vik!,,viktorise
vikkeur,n,ˈvɪkəɹ,winner; victor,Thu c vikkeur unk bea.,,
vikment,n,ˈvɪkmənt,victory,,,
vikt,vt,ˈvɪkt,Old form of `vik`,,,
vikteur,n,ˈvɪktəɹ,Old form of `vikkeur`,,,
viktion,n,ˈvɪkʃən,Old form of `vikment`,,,
villager employment,n,ˈvɪlɪdʒəɹ ɪmˈplɔɪmənt,slavery,,,
villaka,n,vɪˈlaka,villager,,,
visu,vt,ˈvizu|ˈvɪʒu,to see,Iung visu any rasetrakk hir.,Obselete,
voke,vt,ˈvoʊk,to say; to speak,,,
vroomeur,n,ˈvɹumər,car,Hoang vroomfully kollekted teir baka zel koursed tu teir vroomeur tu evade Jakob qwo seemed tu krave some bakalarachi.,,
wallahi,n,waˈlahi,bruh moment,,,
wambi,n,ˈwambi,chicken,Jakob apris tu wambilarachi.,,
wazo,n,ˈwazo,bird,,,oiseau
wishtu,vt,ˈwiʃtu,Contraction of `wish` + `tu` - to want to,,Obselete,
wonderfulness,n,ˈwʌndəɹfəlnɪs,wonder,,,
worm,v,ˈwɜɹm,to annoy; to bother|to attack,,,
wun,num,ˈwʌn,one,,,
wunts,adv,ˈwʌnts,once,,,
youtub,n,ˈjutʌb,YouTube,,,
yu,pro,ˈju,you,,Obselete. Replaced with `thu`,
yukkful,adj,ˈjʌkfəl,of or relating to Minecraft Bedrock Edition,Cat fery yukk beas.,,yukk|yukksome
yumsome,adj,ˈjʌmsəm,yummy; delicious; good tasting,,,
zel,adv,ˈzɛl,as well|also,,,
zel,conj,ˈzɛl,and,,,aswel|azle|zwel
zel,prep,ˈzɛl,with,,,
zith,prep,ˈzɪθ,with,Thu dzar zith us go?,Obselete. Replaced with `zel` or `avec`/`avek`,
,adj,∅,having traits of ness,,,-
